,Name,Parent,Path,label,comment
0,ar,statisticalmodel,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/ar,ar,
1,wrf,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/wrf,wrf,
2,offshorewindpowerplant,windpowerplant,thing/windrelatedstructuralcomponent/windpowerplant/offshorewindpowerplant,offshorewindpowerplant,
3,inca,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/inca,inca,
4,arps,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/arps,arps,
5,arome,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/arome,arome,
6,sonicanemometer,anemometer,thing/windrelatedstructuralcomponent/sensor/anemometer/sonicanemometer,sonicanemometer,
7,internationalwindenergyassociation,internationalorganization,thing/windrelatedorganization/internationalorganization/internationalwindenergyassociation,internationalwindenergyassociation,
8,cupanemometer,anemometer,thing/windrelatedstructuralcomponent/sensor/anemometer/cupanemometer,cupanemometer,
9,rotor,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/rotor,rotor,
10,nacelle,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/nacelle,nacelle,
11,humidity,meteorologicaldata,thing/windrelateddata/meteorologicaldata/humidity,humidity,
12,arima,ar,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/ar/arima,arima,
13,nationalweatherservice,governmentalenergyorganization,thing/windrelatedorganization/nationalorganization/governmentalenergyorganization/nationalweatherservice,nationalweatherservice,
14,lidarsensor,windprofiler,thing/windrelatedstructuralcomponent/sensor/windprofiler/lidarsensor,lidarsensor,
15,arx,ar,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/ar/arx,arx,
16,turbinestatus,windrelateddata,thing/windrelateddata/turbinestatus,turbinestatus,
17,harmonie,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/harmonie,harmonie,
18,windrelateddata,thing,thing/windrelateddata,windrelateddata,
19,temperature,meteorologicaldata,thing/windrelateddata/meteorologicaldata/temperature,temperature,
20,horizontalwindcomponent,winddata,thing/windrelateddata/meteorologicaldata/winddata/horizontalwindcomponent,horizontalwindcomponent,
21,gfs,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/gfs,gfs,
22,numericalweatherprediction,windrelatedmodel,thing/windrelatedmodel/numericalweatherprediction,numericalweatherprediction,
23,pressure,meteorologicaldata,thing/windrelateddata/meteorologicaldata/pressure,pressure,
24,humiditysensor,sensor,thing/windrelatedstructuralcomponent/sensor/humiditysensor,humiditysensor,
25,arxm,ar,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/ar/arxm,arxm,
26,radarsensor,windprofiler,thing/windrelatedstructuralcomponent/sensor/windprofiler/radarsensor,radarsensor,
27,nam,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/nam,nam,
28,faultdata,windrelateddata,thing/windrelateddata/faultdata,faultdata,
29,v-component,horizontalwindcomponent,thing/windrelateddata/meteorologicaldata/winddata/horizontalwindcomponent/v-component,v-component,
30,hub,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/hub,hub,
31,nationalwindresearchorganization,nationalorganization,thing/windrelatedorganization/nationalorganization/nationalwindresearchorganization,nationalwindresearchorganization,
32,propelleranemometer,anemometer,thing/windrelatedstructuralcomponent/sensor/anemometer/propelleranemometer,propelleranemometer,
33,h-axiswindturbine,windturbine,thing/windrelatedstructuralcomponent/windturbine/h-axiswindturbine,h-axiswindturbine,
34,sensor,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/sensor,sensor,
35,turbulence,winddata,thing/windrelateddata/meteorologicaldata/winddata/turbulence,turbulence,
36,nationalwindenergyassociation,nationalorganization,thing/windrelatedorganization/nationalorganization/nationalwindenergyassociation,nationalwindenergyassociation,
37,windpower,windrelateddata,thing/windrelateddata/windpower,windpower,
38,windshear,winddata,thing/windrelateddata/meteorologicaldata/winddata/windshear,windshear,
39,internationalweatherorganization,internationalorganization,thing/windrelatedorganization/internationalorganization/internationalweatherorganization,internationalweatherorganization,
40,pressuresensor,sensor,thing/windrelatedstructuralcomponent/sensor/pressuresensor,pressuresensor,
41,windrelatedstructuralcomponent,thing,thing/windrelatedstructuralcomponent,windrelatedstructuralcomponent,
42,sarima,ar,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/ar/sarima,sarima,
43,mos,statisticalmodel,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/mos,mos,
44,anemometer,sensor,thing/windrelatedstructuralcomponent/sensor/anemometer,anemometer,
45,u-component,horizontalwindcomponent,thing/windrelateddata/meteorologicaldata/winddata/horizontalwindcomponent/u-component,u-component,
46,onshorewindpowerplant,windpowerplant,thing/windrelatedstructuralcomponent/windpowerplant/onshorewindpowerplant,onshorewindpowerplant,
47,forecastpower,windpower,thing/windrelateddata/windpower/forecastpower,forecastpower,
48,windspeed,winddata,thing/windrelateddata/meteorologicaldata/winddata/windspeed,windspeed,
49,internationalorganization,windrelatedorganization,thing/windrelatedorganization/internationalorganization,internationalorganization,
50,gearbox,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/gearbox,gearbox,
51,alaro,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/alaro,alaro,
52,svm,statisticalmodel,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/svm,svm,
53,winddata,meteorologicaldata,thing/windrelateddata/meteorologicaldata/winddata,winddata,
54,brake,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/brake,brake,
55,temperaturesensor,sensor,thing/windrelatedstructuralcomponent/sensor/temperaturesensor,temperaturesensor,
56,generator,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/generator,generator,
57,blade,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/blade,blade,
58,windrelatedmodel,thing,thing/windrelatedmodel,windrelatedmodel,
59,windvane,sensor,thing/windrelatedstructuralcomponent/sensor/windvane,windvane,
60,ministryofenergy,governmentalenergyorganization,thing/windrelatedorganization/nationalorganization/governmentalenergyorganization/ministryofenergy,ministryofenergy,
61,governmentalenergyorganization,nationalorganization,thing/windrelatedorganization/nationalorganization/governmentalenergyorganization,governmentalenergyorganization,
62,arma,ar,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/ar/arma,arma,
63,aladin,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/aladin,,
64,solarradiation,meteorologicaldata,thing/windrelateddata/meteorologicaldata/solarradiation,solarradiation,
65,windprofiler,sensor,thing/windrelatedstructuralcomponent/sensor/windprofiler,windprofiler,
66,windrelatedorganization,thing,thing/windrelatedorganization,windrelatedorganization,
67,v-axiswindturbine,windturbine,thing/windrelatedstructuralcomponent/windturbine/v-axiswindturbine,v-axiswindturbine,
68,nationalorganization,windrelatedorganization,thing/windrelatedorganization/nationalorganization,nationalorganization,
69,mm5,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/mm5,mm5,
70,anfis,statisticalmodel,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/anfis,anfis,
71,transmissionsystemoperator,governmentalenergyorganization,thing/windrelatedorganization/nationalorganization/governmentalenergyorganization/transmissionsystemoperator,transmissionsystemoperator,
72,windpowerplant,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/windpowerplant,windpowerplant,
73,pso,statisticalmodel,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/pso,pso,
74,statisticalmodel,windpowerforecastmodel,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel,statisticalmodel,
75,solarradiationsensor,sensor,thing/windrelatedstructuralcomponent/sensor/solarradiationsensor,solarradiationsensor,
76,ifs,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/ifs,ifs,
77,commercialweatherforecastcompany,windrelatedorganization,thing/windrelatedorganization/commercialweatherforecastcompany,commercialweatherforecastcompany,
78,verticalwindcomponent,winddata,thing/windrelateddata/meteorologicaldata/winddata/verticalwindcomponent,verticalwindcomponent,
79,measuredpower,windpower,thing/windrelateddata/windpower/measuredpower,measuredpower,
80,hirlam,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/hirlam,hirlam,
81,ann,statisticalmodel,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/ann,ann,
82,tower,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/tower,tower,
83,physicalmodel,windpowerforecastmodel,thing/windrelatedmodel/windpowerforecastmodel/physicalmodel,physicalmodel,
84,mlp,statisticalmodel,thing/windrelatedmodel/windpowerforecastmodel/statisticalmodel/mlp,mlp,
85,arpege,numericalweatherprediction,thing/windrelatedmodel/numericalweatherprediction/arpege,arpege,
86,windpowerforecastmodel,windrelatedmodel,thing/windrelatedmodel/windpowerforecastmodel,windpowerforecastmodel,
87,sodarsensor,windprofiler,thing/windrelatedstructuralcomponent/sensor/windprofiler/sodarsensor,sodarsensor,
88,meteorologicaltower,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/meteorologicaltower,meteorologicaltower,
89,commercialwindenergycompany,windrelatedorganization,thing/windrelatedorganization/commercialwindenergycompany,commercialwindenergycompany,
90,winddirection,winddata,thing/windrelateddata/meteorologicaldata/winddata/winddirection,winddirection,
91,windturbine,windrelatedstructuralcomponent,thing/windrelatedstructuralcomponent/windturbine,windturbine,
92,meteorologicaldata,windrelateddata,thing/windrelateddata/meteorologicaldata,meteorologicaldata,
